course_key,course_name,instructor,difficulty_level,certification_offered,study_material_available,course_duration_hours,course_price,feedback_score,enrollment_numbers,rating,course_document
AI for Business Leaders | Alexander Young | Advanced,AI for Business Leaders,Alexander Young,Advanced,Yes,Yes,59.4,273.92,0.713,26693.0,3.71,Course Name: AI for Business Leaders. Instructor: Alexander Young. Difficulty Level: Advanced. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 59.4. Course Price: 273.92. Feedback Score: 0.713. Enrollment Numbers: 26693.0. Average Rating: 3.71.
AI for Business Leaders | Alexander Young | Beginner,AI for Business Leaders,Alexander Young,Beginner,Yes,Yes,55.02,240.12,0.736,22918.0,4.03,Course Name: AI for Business Leaders. Instructor: Alexander Young. Difficulty Level: Beginner. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 55.02. Course Price: 240.12. Feedback Score: 0.736. Enrollment Numbers: 22918.0. Average Rating: 4.03.
AI for Business Leaders | Alexander Young | Intermediate,AI for Business Leaders,Alexander Young,Intermediate,Yes,Yes,48.38,274.76,0.756,24371.0,4.06,Course Name: AI for Business Leaders. Instructor: Alexander Young. Difficulty Level: Intermediate. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 48.38. Course Price: 274.76. Feedback Score: 0.756. Enrollment Numbers: 24371.0. Average Rating: 4.06.
AI for Business Leaders | Benjamin Lewis | Advanced,AI for Business Leaders,Benjamin Lewis,Advanced,No,No,52.6,274.09,0.762,24304.0,4.03,Course Name: AI for Business Leaders. Instructor: Benjamin Lewis. Difficulty Level: Advanced. Certification Offered: No. Study Material Available: No. Course Duration Hours: 52.6. Course Price: 274.09. Feedback Score: 0.762. Enrollment Numbers: 24304.0. Average Rating: 4.03.
AI for Business Leaders | Benjamin Lewis | Beginner,AI for Business Leaders,Benjamin Lewis,Beginner,Yes,Yes,51.04,253.0,0.748,25134.0,3.96,Course Name: AI for Business Leaders. Instructor: Benjamin Lewis. Difficulty Level: Beginner. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 51.04. Course Price: 253.0. Feedback Score: 0.748. Enrollment Numbers: 25134.0. Average Rating: 3.96.
AI for Business Leaders | Benjamin Lewis | Intermediate,AI for Business Leaders,Benjamin Lewis,Intermediate,Yes,Yes,49.15,264.13,0.766,20337.0,3.91,Course Name: AI for Business Leaders. Instructor: Benjamin Lewis. Difficulty Level: Intermediate. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 49.15. Course Price: 264.13. Feedback Score: 0.766. Enrollment Numbers: 20337.0. Average Rating: 3.91.
AI for Business Leaders | Charlotte King | Advanced,AI for Business Leaders,Charlotte King,Advanced,Yes,Yes,55.64,265.62,0.748,21732.0,3.84,Course Name: AI for Business Leaders. Instructor: Charlotte King. Difficulty Level: Advanced. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 55.64. Course Price: 265.62. Feedback Score: 0.748. Enrollment Numbers: 21732.0. Average Rating: 3.84.
AI for Business Leaders | Charlotte King | Beginner,AI for Business Leaders,Charlotte King,Beginner,Yes,Yes,53.13,250.98,0.727,25317.0,3.84,Course Name: AI for Business Leaders. Instructor: Charlotte King. Difficulty Level: Beginner. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 53.13. Course Price: 250.98. Feedback Score: 0.727. Enrollment Numbers: 25317.0. Average Rating: 3.84.
AI for Business Leaders | Charlotte King | Intermediate,AI for Business Leaders,Charlotte King,Intermediate,No,Yes,46.18,247.34,0.727,26373.0,3.89,Course Name: AI for Business Leaders. Instructor: Charlotte King. Difficulty Level: Intermediate. Certification Offered: No. Study Material Available: Yes. Course Duration Hours: 46.18. Course Price: 247.34. Feedback Score: 0.727. Enrollment Numbers: 26373.0. Average Rating: 3.89.
AI for Business Leaders | Daniel White | Advanced,AI for Business Leaders,Daniel White,Advanced,No,No,49.02,304.67,0.773,29132.0,3.97,Course Name: AI for Business Leaders. Instructor: Daniel White. Difficulty Level: Advanced. Certification Offered: No. Study Material Available: No. Course Duration Hours: 49.02. Course Price: 304.67. Feedback Score: 0.773. Enrollment Numbers: 29132.0. Average Rating: 3.97.
AI for Business Leaders | Daniel White | Beginner,AI for Business Leaders,Daniel White,Beginner,Yes,Yes,57.2,258.99,0.74,23550.0,3.92,Course Name: AI for Business Leaders. Instructor: Daniel White. Difficulty Level: Beginner. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 57.2. Course Price: 258.99. Feedback Score: 0.74. Enrollment Numbers: 23550.0. Average Rating: 3.92.
AI for Business Leaders | Daniel White | Intermediate,AI for Business Leaders,Daniel White,Intermediate,No,Yes,46.94,245.37,0.761,23729.0,3.74,Course Name: AI for Business Leaders. Instructor: Daniel White. Difficulty Level: Intermediate. Certification Offered: No. Study Material Available: Yes. Course Duration Hours: 46.94. Course Price: 245.37. Feedback Score: 0.761. Enrollment Numbers: 23729.0. Average Rating: 3.74.
AI for Business Leaders | David Wilson | Advanced,AI for Business Leaders,David Wilson,Advanced,No,Yes,49.71,256.74,0.738,23355.0,3.9,Course Name: AI for Business Leaders. Instructor: David Wilson. Difficulty Level: Advanced. Certification Offered: No. Study Material Available: Yes. Course Duration Hours: 49.71. Course Price: 256.74. Feedback Score: 0.738. Enrollment Numbers: 23355.0. Average Rating: 3.9.
AI for Business Leaders | David Wilson | Beginner,AI for Business Leaders,David Wilson,Beginner,Yes,Yes,54.48,248.85,0.752,22592.0,3.97,Course Name: AI for Business Leaders. Instructor: David Wilson. Difficulty Level: Beginner. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 54.48. Course Price: 248.85. Feedback Score: 0.752. Enrollment Numbers: 22592.0. Average Rating: 3.97.
AI for Business Leaders | David Wilson | Intermediate,AI for Business Leaders,David Wilson,Intermediate,Yes,Yes,55.43,276.86,0.749,27209.0,3.89,Course Name: AI for Business Leaders. Instructor: David Wilson. Difficulty Level: Intermediate. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 55.43. Course Price: 276.86. Feedback Score: 0.749. Enrollment Numbers: 27209.0. Average Rating: 3.89.
AI for Business Leaders | Dr. John Smith | Advanced,AI for Business Leaders,Dr. John Smith,Advanced,Yes,Yes,44.18,240.2,0.731,28146.0,3.88,Course Name: AI for Business Leaders. Instructor: Dr. John Smith. Difficulty Level: Advanced. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 44.18. Course Price: 240.2. Feedback Score: 0.731. Enrollment Numbers: 28146.0. Average Rating: 3.88.
AI for Business Leaders | Dr. John Smith | Beginner,AI for Business Leaders,Dr. John Smith,Beginner,Yes,Yes,50.66,268.8,0.758,24573.0,4.13,Course Name: AI for Business Leaders. Instructor: Dr. John Smith. Difficulty Level: Beginner. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 50.66. Course Price: 268.8. Feedback Score: 0.758. Enrollment Numbers: 24573.0. Average Rating: 4.13.
AI for Business Leaders | Dr. John Smith | Intermediate,AI for Business Leaders,Dr. John Smith,Intermediate,Yes,Yes,53.52,248.26,0.759,27292.0,4.0,Course Name: AI for Business Leaders. Instructor: Dr. John Smith. Difficulty Level: Intermediate. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 53.52. Course Price: 248.26. Feedback Score: 0.759. Enrollment Numbers: 27292.0. Average Rating: 4.0.
AI for Business Leaders | Dr. Mia Walker | Advanced,AI for Business Leaders,Dr. Mia Walker,Advanced,Yes,Yes,55.25,268.8,0.738,24061.0,3.93,Course Name: AI for Business Leaders. Instructor: Dr. Mia Walker. Difficulty Level: Advanced. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 55.25. Course Price: 268.8. Feedback Score: 0.738. Enrollment Numbers: 24061.0. Average Rating: 3.93.
AI for Business Leaders | Dr. Mia Walker | Beginner,AI for Business Leaders,Dr. Mia Walker,Beginner,No,Yes,53.11,266.69,0.763,27359.0,3.97,Course Name: AI for Business Leaders. Instructor: Dr. Mia Walker. Difficulty Level: Beginner. Certification Offered: No. Study Material Available: Yes. Course Duration Hours: 53.11. Course Price: 266.69. Feedback Score: 0.763. Enrollment Numbers: 27359.0. Average Rating: 3.97.
AI for Business Leaders | Dr. Mia Walker | Intermediate,AI for Business Leaders,Dr. Mia Walker,Intermediate,Yes,Yes,49.96,289.47,0.745,24302.0,3.97,Course Name: AI for Business Leaders. Instructor: Dr. Mia Walker. Difficulty Level: Intermediate. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 49.96. Course Price: 289.47. Feedback Score: 0.745. Enrollment Numbers: 24302.0. Average Rating: 3.97.
AI for Business Leaders | Dr. Robert Davis | Advanced,AI for Business Leaders,Dr. Robert Davis,Advanced,Yes,Yes,49.28,236.63,0.732,23889.0,3.8,Course Name: AI for Business Leaders. Instructor: Dr. Robert Davis. Difficulty Level: Advanced. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 49.28. Course Price: 236.63. Feedback Score: 0.732. Enrollment Numbers: 23889.0. Average Rating: 3.8.
AI for Business Leaders | Dr. Robert Davis | Beginner,AI for Business Leaders,Dr. Robert Davis,Beginner,No,No,49.01,264.23,0.761,25595.0,3.95,Course Name: AI for Business Leaders. Instructor: Dr. Robert Davis. Difficulty Level: Beginner. Certification Offered: No. Study Material Available: No. Course Duration Hours: 49.01. Course Price: 264.23. Feedback Score: 0.761. Enrollment Numbers: 25595.0. Average Rating: 3.95.
AI for Business Leaders | Dr. Robert Davis | Intermediate,AI for Business Leaders,Dr. Robert Davis,Intermediate,Yes,Yes,62.4,278.07,0.769,25712.0,4.03,Course Name: AI for Business Leaders. Instructor: Dr. Robert Davis. Difficulty Level: Intermediate. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 62.4. Course Price: 278.07. Feedback Score: 0.769. Enrollment Numbers: 25712.0. Average Rating: 4.03.
AI for Business Leaders | Emma Harris | Advanced,AI for Business Leaders,Emma Harris,Advanced,Yes,Yes,50.48,283.02,0.722,26256.0,3.96,Course Name: AI for Business Leaders. Instructor: Emma Harris. Difficulty Level: Advanced. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 50.48. Course Price: 283.02. Feedback Score: 0.722. Enrollment Numbers: 26256.0. Average Rating: 3.96.
AI for Business Leaders | Emma Harris | Beginner,AI for Business Leaders,Emma Harris,Beginner,Yes,No,52.53,266.86,0.739,23755.0,3.97,Course Name: AI for Business Leaders. Instructor: Emma Harris. Difficulty Level: Beginner. Certification Offered: Yes. Study Material Available: No. Course Duration Hours: 52.53. Course Price: 266.86. Feedback Score: 0.739. Enrollment Numbers: 23755.0. Average Rating: 3.97.
AI for Business Leaders | Emma Harris | Intermediate,AI for Business Leaders,Emma Harris,Intermediate,No,No,53.28,282.13,0.726,25124.0,3.98,Course Name: AI for Business Leaders. Instructor: Emma Harris. Difficulty Level: Intermediate. Certification Offered: No. Study Material Available: No. Course Duration Hours: 53.28. Course Price: 282.13. Feedback Score: 0.726. Enrollment Numbers: 25124.0. Average Rating: 3.98.
AI for Business Leaders | Ethan Hall | Advanced,AI for Business Leaders,Ethan Hall,Advanced,No,Yes,45.42,264.22,0.738,25088.0,3.99,Course Name: AI for Business Leaders. Instructor: Ethan Hall. Difficulty Level: Advanced. Certification Offered: No. Study Material Available: Yes. Course Duration Hours: 45.42. Course Price: 264.22. Feedback Score: 0.738. Enrollment Numbers: 25088.0. Average Rating: 3.99.
AI for Business Leaders | Ethan Hall | Beginner,AI for Business Leaders,Ethan Hall,Beginner,Yes,No,49.07,263.42,0.734,25895.0,3.91,Course Name: AI for Business Leaders. Instructor: Ethan Hall. Difficulty Level: Beginner. Certification Offered: Yes. Study Material Available: No. Course Duration Hours: 49.07. Course Price: 263.42. Feedback Score: 0.734. Enrollment Numbers: 25895.0. Average Rating: 3.91.
AI for Business Leaders | Ethan Hall | Intermediate,AI for Business Leaders,Ethan Hall,Intermediate,No,No,51.0,258.92,0.736,23845.0,4.13,Course Name: AI for Business Leaders. Instructor: Ethan Hall. Difficulty Level: Intermediate. Certification Offered: No. Study Material Available: No. Course Duration Hours: 51.0. Course Price: 258.92. Feedback Score: 0.736. Enrollment Numbers: 23845.0. Average Rating: 4.13.
AI for Business Leaders | Isabella Scott | Advanced,AI for Business Leaders,Isabella Scott,Advanced,No,Yes,61.81,285.06,0.735,27641.0,3.81,Course Name: AI for Business Leaders. Instructor: Isabella Scott. Difficulty Level: Advanced. Certification Offered: No. Study Material Available: Yes. Course Duration Hours: 61.81. Course Price: 285.06. Feedback Score: 0.735. Enrollment Numbers: 27641.0. Average Rating: 3.81.
AI for Business Leaders | Isabella Scott | Beginner,AI for Business Leaders,Isabella Scott,Beginner,Yes,Yes,55.25,242.18,0.753,24619.0,4.04,Course Name: AI for Business Leaders. Instructor: Isabella Scott. Difficulty Level: Beginner. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 55.25. Course Price: 242.18. Feedback Score: 0.753. Enrollment Numbers: 24619.0. Average Rating: 4.04.
