user_encoded,course_encoded,rating
13630,1105,5.0
743,241,4.3
32997,379,3.9
38668,964,3.1
9727,430,2.8
5399,435,3.6
14539,802,4.9
32160,460,4.1
18995,844,4.7
40793,125,4.4
38133,661,4.5
13825,521,4.2
35532,1025,4.1
1439,170,3.1
666,909,4.1
2077,391,2.7
4581,1087,4.6
32705,71,4.0
33890,623,5.0
15173,150,3.7
17079,915,2.5
24846,233,3.7
5510,529,3.6
23809,773,3.3
35827,408,4.9
22227,248,3.3
16373,776,3.0
15938,814,4.4
2348,748,4.4
167,968,4.4
16525,356,5.0
30947,70,4.7
1619,526,4.8
1088,400,3.8
27293,1025,4.4
9824,1039,4.5
3049,943,5.0
3338,874,3.3
35975,691,3.9
26596,779,1.5
12507,893,4.9
18829,418,4.4
9154,465,4.0
7568,696,3.9
37454,805,3.9
37189,317,2.7
7264,1165,4.9
37171,1009,2.6
9492,145,4.5
20688,561,4.0
2234,1144,3.6
20330,505,4.3
41976,2,4.5
14811,261,5.0
38882,1060,3.5
35451,1168,3.0
12541,64,3.8
31078,10,5.0
22989,101,3.4
1357,402,5.0
3388,1040,3.9
20726,202,4.3
16813,153,3.9
877,474,4.5
10044,511,3.3
37677,124,2.2
11575,1161,5.0
35247,667,5.0
8342,122,2.6
39552,762,3.9
5914,550,3.3
4896,20,4.3
143,979,3.5
32049,1063,4.6
23011,283,4.7
29221,594,4.8
28210,1019,4.4
9946,778,5.0
25222,943,3.8
34926,1036,4.0
22392,340,4.4
872,808,3.7
20991,658,2.8
21011,262,5.0
20121,74,3.4
21035,354,4.5
7346,480,3.4
14900,787,4.2
7977,855,3.6
18386,1112,2.7
10497,4,5.0
18361,630,3.7
33815,948,5.0
7383,778,4.1
34581,950,4.6
32898,953,4.5
42551,930,5.0
42355,41,3.3
35263,1187,4.0
2194,47,3.2
1737,788,2.5
2307,616,3.5
41652,838,4.1
4536,197,4.7
19027,64,5.0
34173,562,4.0
28693,1156,2.5
12061,237,4.8
10912,785,4.3
33422,1171,3.7
3053,752,2.9
23265,403,4.5
33688,439,4.2
19604,751,4.9
7226,412,4.3
26423,874,3.8
11270,297,4.9
41520,90,3.9
20436,673,4.6
30474,1114,4.4
10201,311,4.6
12104,925,2.7
26664,799,5.0
16523,885,4.1
9447,937,3.5
21237,1086,4.4
36767,88,4.2
4359,386,2.5
28106,983,3.7
41248,211,2.0
6982,136,2.4
11881,645,3.9
23625,37,4.2
15034,346,4.7
28786,913,3.2
5948,618,2.6
39295,875,3.3
22036,804,3.9
181,907,4.4
18598,691,4.4
19343,127,4.1
20270,227,4.6
42104,847,3.9
35904,721,3.2
39031,404,5.0
19377,22,3.9
15686,872,3.9
12779,1181,3.3
34881,903,4.6
5490,1010,4.2
1433,925,3.2
29276,196,4.6
13978,647,3.7
8537,928,5.0
24162,230,3.5
19287,88,3.6
37687,146,4.6
37765,636,3.7
36788,176,3.5
42437,193,3.7
38041,980,2.8
2305,343,4.1
25509,209,3.7
25720,535,3.8
40376,591,4.2
3108,563,4.0
22470,520,4.1
42301,117,2.4
37117,841,4.9
18879,825,2.9
15603,58,4.0
22613,213,3.5
8804,1086,3.4
13554,1135,3.2
19006,710,3.6
38252,1051,5.0
20584,820,4.2
26024,4,4.6
1121,424,4.3
5831,218,2.2
23611,1145,3.9
8156,462,5.0
34841,864,5.0
18992,554,3.4
4769,999,4.1
25386,1180,2.3
3216,1185,3.6
27661,249,3.3
28175,954,4.7
11689,724,5.0
574,577,4.0
30088,1000,2.9
6884,681,4.5
24274,603,3.7
26221,772,3.6
2824,50,3.7
40264,973,4.2
34035,788,4.1
15273,409,4.0
38392,618,4.7
20725,721,4.9
20489,856,2.7
1401,1088,3.1
17358,1006,3.6
24023,436,4.3
43104,877,3.6
23168,941,5.0
24830,783,4.3
32434,446,4.3
40905,389,2.7
40325,505,3.6
737,1109,3.3
21243,844,3.7
33391,1185,3.8
6353,271,5.0
40390,1088,4.2
18634,647,2.1
33339,652,2.4
22793,1169,3.4
18955,191,4.4
4246,724,5.0
28530,803,4.2
38207,103,3.7
10930,563,3.8
21941,683,4.6
32129,366,3.9
1993,508,3.9
35262,765,3.6
35057,916,3.2
174,191,3.6
20354,675,3.5
30024,1150,3.8
38500,576,3.1
13012,440,2.9
19613,661,4.0
21799,403,3.1
24128,1045,4.6
36403,280,3.5
17862,1030,4.2
38336,568,4.4
13555,289,3.9
22847,382,3.8
43071,1001,3.3
2402,1098,4.6
40642,218,3.6
5635,836,5.0
30076,847,4.9
26132,868,3.5
35546,964,3.1
9838,634,4.5
2487,226,3.5
1482,377,3.1
15763,472,5.0
7473,133,3.9
16734,575,3.1
15864,146,3.8
4972,1012,4.2
19972,280,4.5
30415,384,3.8
9578,529,2.1
32433,466,3.0
1538,675,5.0
7022,26,4.3
6990,337,5.0
34062,885,3.6
40655,192,4.8
40845,634,4.2
18954,52,3.4
17664,316,3.4
26224,751,5.0
14362,971,3.8
40501,445,4.9
26878,288,4.2
21812,277,3.3
36291,350,3.9
14123,1154,5.0
10199,37,3.7
39704,654,2.9
1757,590,2.0
27351,1137,3.8
33028,462,5.0
40937,898,3.4
18093,1143,2.8
25839,568,3.4
6160,445,2.7
37184,569,4.6
6360,585,3.5
36859,224,3.6
13067,49,3.9
993,98,5.0
3871,294,2.8
5423,548,2.6
10496,1081,3.9
25368,859,3.3
11100,158,4.3
28300,263,5.0
4776,308,3.8
36659,687,3.7
41798,1058,4.0
2183,394,3.4
33169,793,2.6
14214,1036,3.4
1889,736,3.9
40580,849,3.4
2533,259,2.4
40612,1183,4.1
18463,234,3.9
10316,473,4.0
2451,193,3.4
40428,898,3.2
24802,324,2.2
21407,1047,4.4
33265,883,4.6
20190,700,3.2
22414,412,3.5
18405,997,4.5
3426,1194,4.3
19373,465,3.9
39950,181,3.0
29410,871,2.0
18046,1114,3.1
4069,1060,3.4
38075,836,2.8
3919,583,3.3
36238,364,4.6
35303,868,4.5
39352,623,5.0
17134,497,4.0
15050,1069,3.5
5932,817,3.6
12399,146,5.0
40914,1158,2.5
2938,126,4.2
7537,913,5.0
9197,803,2.9
5083,1126,4.1
17053,41,4.1
26601,1117,3.6
42693,637,2.9
41844,363,3.2
27995,191,3.8
34419,421,2.8
36243,736,4.2
4828,457,2.9
25219,398,3.9
23956,1030,5.0
35254,91,2.7
7751,390,3.7
39514,619,4.8
32347,23,3.8
38088,256,3.3
34968,1151,5.0
7068,71,4.1
16071,48,3.4
37600,298,2.8
15071,409,4.1
31331,593,2.6
37634,1016,3.5
40803,788,4.0
28233,791,3.5
29277,1056,3.6
16174,532,4.3
2925,382,2.9
27006,985,4.1
265,934,3.3
39104,649,4.8
43027,536,2.7
603,1022,4.2
168,71,5.0
9034,535,3.4
30922,326,5.0
5262,496,4.4
17087,826,4.9
23085,174,4.9
29924,391,3.5
28330,664,4.8
19985,84,4.1
495,1093,3.8
33043,632,3.8
29994,579,3.2
31681,610,3.6
39483,322,4.7
6410,16,4.5
3451,893,3.4
9562,1145,4.0
15621,161,4.4
30951,1179,4.4
14262,706,3.9
9245,955,3.5
29572,1,3.3
38916,1198,4.8
679,842,2.6
24044,705,4.3
35342,832,3.4
34872,821,4.3
10797,252,4.1
34696,625,3.6
34579,1003,4.6
5005,1133,4.3
16592,939,2.6
42965,445,3.8
33508,1167,3.5
25618,888,4.8
9172,1075,3.1
7504,515,3.5
20210,942,5.0
19033,560,4.3
21105,252,4.6
38981,207,3.5
4111,578,4.0
2023,551,2.3
10373,219,4.3
5732,178,5.0
